Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1538956800,2018-10-08T00:00:00,10.0689985188,4.7338953207,6.12162816091974,88.2648410158008,41.4973263812562,53.6621924586224
1539043200,2018-10-09T00:00:00,10.0537096416,4.7267073224,6.11233301393549,88.1308187182656,41.4343163881584,53.5807112001585
1539129600,2018-10-10T00:00:00,10.1053849608,4.7510022462,6.14374995064957,88.5838045663728,41.6472856901892,53.8561120673941
1539216000,2018-10-11T00:00:00,10.2178586388,4.8038812507,6.21213033955532,89.5697488277208,42.1108230436362,54.455534556542
1539302400,2018-10-12T00:00:00,10.2390362052,4.8138377903,6.22500562070786,89.7553913747832,42.1981020697698,54.5683992711251
1539388800,2018-10-13T00:00:00,10.408451022,4.8934874205,6.32800439575619,91.240481658852,42.896310728103,55.4712865331988
1539475200,2018-10-14T00:00:00,10.111973664,4.754099896,6.14775567087862,88.641561138624,41.674439688336,53.891226210922
1539561600,2018-10-15T00:00:00,10.3978622388,4.8885091507,6.32156675517993,91.1476603853208,42.8526712150362,55.4148541759073
1539648000,2018-10-16T00:00:00,10.4508032976,4.9133991564,6.3537532209753,91.6117417067616,43.0708570050024,55.6970007350695
1539734400,2018-10-17T00:00:00,10.3872734556,4.8835308809,6.31512911460366,91.0548391117896,42.8090317019694,55.3584218186157
1539820800,2018-10-18T00:00:00,10.1575717188,4.7755376207,6.17547782575089,89.0412736870008,41.8623627830562,54.1342386205323
1539907200,2018-10-19T00:00:00,10.2085727388,4.7995155257,6.20648481017786,89.4883486283208,42.0725530982862,54.4060458460191
1539993600,2018-10-20T00:00:00,10.1744806284,4.7834872701,6.18575790047576,89.1894971885544,41.9320494096966,54.2243537555705
1540080000,2018-10-21T00:00:00,10.3752675012,4.8778863343,6.3078298793901,90.9495949155192,42.7595516064738,55.2944367227336
1540166400,2018-10-22T00:00:00,10.2412419636,4.8148748179,6.22634665107075,89.7747270529176,42.2071926537114,54.5801547432862
1540252800,2018-10-23T00:00:00,10.3829047968,4.8814769752,6.31247311016731,91.0165434487488,42.7910271646032,55.3351392837267
1540339200,2018-10-24T00:00:00,10.0745214864,4.7364919196,6.12498594808485,88.3132553497824,41.5200881672136,53.6916268209118
1540425600,2018-10-25T00:00:00,10.0183260768,4.7100718952,6.09082094137843,87.8206463892288,41.2884902333232,53.3921363721233
1540512000,2018-10-26T00:00:00,10.028529138,4.7148688195,6.09702407534979,87.910086423708,41.330540071737,53.4465130445162
1540598400,2018-10-27T00:00:00,9.9571162812,4.6812943793,6.05360734880818,87.2840813209992,41.0362265289438,53.0659220196525
1540684800,2018-10-28T00:00:00,9.9775195464,4.6908868846,6.06601187966493,87.4629363437424,41.1203144304036,53.1746601371427
1540771200,2018-10-29T00:00:00,9.8857034244,4.6477199391,6.01019062226657,86.6580762182904,40.7419129861506,52.6853309947887
1540857600,2018-10-30T00:00:00,9.8857034244,4.6477199391,6.01019062226657,86.6580762182904,40.7419129861506,52.6853309947887
1540944000,2018-10-31T00:00:00,10.3957993404,4.8875392881,6.32031257911515,91.1295770179464,42.8441693994846,55.4038600685234
1541030400,2018-11-01T00:00:00,10.5692799528,4.73536062350571,6.37668237563427,92.6503080662448,41.5101712256511,55.89799770481
1541116800,2018-11-02T00:00:00,10.5695942448,4.51842392569429,6.33127133058103,92.6530631499168,39.6085041326361,55.4999244838733
1541203200,2018-11-03T00:00:00,10.8249964956,4.39409035914,6.43520544872636,94.8919192804296,38.5185960882212,56.4110109635353
1541289600,2018-11-04T00:00:00,10.6518358896,4.12595637060286,6.2907050871666,93.3739934082336,36.1681335447046,55.1443207941024
1541376000,2018-11-05T00:00:00,10.6317497736,3.89791017606,6.23257229741808,93.1979185153776,34.169080603342,54.6347287591669
1541462400,2018-11-06T00:00:00,10.3667816172,3.57902287346286,6.03066140297129,90.8752076563752,31.3737145087754,52.8647778584464
1541548800,2018-11-07T00:00:00,10.0304034612,3.22352665463429,5.78469779580382,87.9265167408792,28.2574346545242,50.7086608780163
1541635200,2018-11-08T00:00:00,9.6939595896,3.11540181278857,5.59066511008139,84.9772497624336,27.3096122909046,49.0077703549734
1541721600,2018-11-09T00:00:00,9.5306934672,3.06293206923429,5.49650686589609,83.5460589334752,26.8496625189078,48.1823791864451
1541808000,2018-11-10T00:00:00,9.224570202,2.96455152962857,5.31996056999716,80.862582390732,25.9872587087241,46.6347743565951
1541894400,2018-11-11T00:00:00,9.4592663244,3.03997713032571,5.45531366393627,82.9199285996904,26.6484395244352,47.8212795780653
1541980800,2018-11-12T00:00:00,9.4184483652,3.02685923532,5.43177327899295,82.5621183693432,26.5334480568151,47.6149245636522
1542067200,2018-11-13T00:00:00,9.3368124468,3.00062344530857,5.38469250910631,81.8464979086488,26.3034651215749,47.2022145348259
1542153600,2018-11-14T00:00:00,9.3878334672,3.01702035494857,5.41411716638846,82.2937481734752,26.4472004314792,47.4601510805613
1542240000,2018-11-15T00:00:00,9.4490575488,3.03669627922286,5.44942609600945,82.8304384727808,26.6196795836676,47.7696691576189
1542326400,2018-11-16T00:00:00,9.433574382,3.03172036762857,5.44049670037681,82.694713032612,26.5760607426321,47.6913940755032
1542412800,2018-11-17T00:00:00,9.4670521944,3.04247931875429,5.45980390255943,82.9881795361104,26.6703737082001,47.860641009836
1542499200,2018-11-18T00:00:00,9.1395713592,2.93723497786286,5.27094034658411,80.1174825347472,25.7478018159458,46.2050630781563
1542585600,2018-11-19T00:00:00,8.9016666012,2.86077820006286,5.13373677999405,78.0320094261192,25.077581701751,45.0023366134279
1542672000,2018-11-20T00:00:00,8.9245442016,2.86813050198857,5.14693066647321,78.2325544712256,25.1420319804318,45.1179942223041
1542758400,2018-11-21T00:00:00,8.539213638,2.74429467151429,4.92470422557926,74.854746750708,24.0564870904942,43.1699572414278
1542844800,2018-11-22T00:00:00,8.3961650628,2.69832235376571,4.84220577166829,73.6007829405048,23.6534937531102,42.4467757944442
1542931200,2018-11-23T00:00:00,8.27802587725714,2.66643666819429,4.76407270776831,72.5651748400361,23.3739838333911,41.761861356297
1543017600,2018-11-24T00:00:00,8.18502306445714,2.66036346662857,4.70635992699563,71.7499121830313,23.3207461484661,41.2559511200437
1543104000,2018-11-25T00:00:00,8.00471660794286,2.67251170622857,4.66663803653003,70.1693457852271,23.4272376167997,40.9077490282222
1543190400,2018-11-26T00:00:00,7.67234175291429,2.62695810331429,4.53111959377421,67.2557478060466,23.027914733653,39.7197943590247
1543276800,2018-11-27T00:00:00,7.43791652725714,2.62392150253143,4.46221050181498,65.2007762779361,23.0012958911905,39.1157372589101
1543363200,2018-11-28T00:00:00,7.35811421331429,2.66340190388,4.47589677620676,64.501229193913,23.3473810894121,39.2357111402285
1543449600,2018-11-29T00:00:00,7.01714078108571,2.61177326293143,4.33238319653261,61.5122560869974,22.8948044228569,37.9776711008049
1543536000,2018-11-30T00:00:00,6.63581247994286,2.53888658003429,4.17357258806285,58.1695321991791,22.2558797605805,36.585537306959
1543622400,2018-12-01T00:00:00,6.31741384285714,2.48118381928571,4.05676903958868,55.3784497464857,21.7500573598586,35.5616374010344
1543708800,2018-12-02T00:00:00,6.15038161937143,2.44170341793714,3.97970238517592,53.9142452754099,21.403972161637,34.8860711084521
1543795200,2018-12-03T00:00:00,6.04539767674286,2.42461599611429,3.94019562518136,52.9939560343279,21.2541838219378,34.5397548503398
1543881600,2018-12-04T00:00:00,5.86970718325714,2.38244884124571,3.85839409016738,51.4538531684321,20.8845465423599,33.8226825944073
1543968000,2018-12-05T00:00:00,5.74600359754286,2.35914405507429,3.80817813058688,50.3694675360607,20.6802567867812,33.3824894927246
1544054400,2018-12-06T00:00:00,5.75315729537143,2.38820617021714,3.84311691080358,50.4321768512259,20.9350152881235,33.6887628401041
1544140800,2018-12-07T00:00:00,5.66382965708571,2.37529120498857,3.81137921106962,49.6491307740134,20.8218027029298,33.4105501642363
1544227200,2018-12-08T00:00:00,5.47552958091429,2.32603252673143,3.71900781794894,47.9984923062946,20.3900011293277,32.6008225321404
1544313600,2018-12-09T00:00:00,5.43712977205714,2.30972009464571,3.69292647052179,47.6618795818529,20.2470063496643,32.372193440594
1544400000,2018-12-10T00:00:00,5.43613113925714,2.30929587040571,3.69224819399428,47.6531255667281,20.2432875999765,32.3662476685538
1544486400,2018-12-11T00:00:00,5.35725860194286,2.27579041955429,3.63867756149952,46.9617289046311,19.9495788178129,31.8966475041048
1544572800,2018-12-12T00:00:00,5.29658625548571,2.25001650138857,3.59746859212532,46.4298751155878,19.7236446511722,31.5354096785706
1544659200,2018-12-13T00:00:00,5.27231645228571,2.23970656682857,3.58098441712324,46.2171260207366,19.6332677648193,31.3909094005023
1544745600,2018-12-14T00:00:00,5.46646407017143,2.32218145213714,3.71285047648486,47.9190240391227,20.3562426094342,32.5468472768663
1544832000,2018-12-15T00:00:00,5.59994150314286,2.37888333751429,3.80350903460329,49.0890872165503,20.8532913366502,33.3415601973324
1544918400,2018-12-16T00:00:00,5.52106896582857,2.34537788666286,3.74993840210854,48.3976905544533,20.5595825544866,32.8719600328834
1545004800,2018-12-17T00:00:00,5.73948638691429,2.43816270653143,3.89828863647224,50.3123376676906,21.3729342854545,34.1723981873156
1545091200,2018-12-18T00:00:00,5.75130570325714,2.44318361160571,3.90631637684554,50.4159457947521,21.4169475393357,34.242769359428
1545177600,2018-12-19T00:00:00,5.84080006217143,2.48120126573714,3.96710140513297,51.2004533449947,21.7502102954518,34.7756109173956
1545264000,2018-12-20T00:00:00,5.78673987531428,2.45823622625143,3.9303834485243,50.726561747005,21.54889875932,34.453741309764
1545350400,2018-12-21T00:00:00,5.66910655148571,2.40826499818857,3.85048629072341,49.6953880303238,21.110850974121,33.7533628244814
1545436800,2018-12-22T00:00:00,5.8036740876,2.43214184432,3.90340783560078,50.8750070519016,21.3201554073091,34.2172730868765
1545523200,2018-12-23T00:00:00,6.15045784217143,2.54597902165714,4.10024789134044,53.9149134444747,22.3180521038465,35.9427730154903
1545609600,2018-12-24T00:00:00,6.0817892868,2.48789519368,4.02018750597829,53.3129648880888,21.8088892677989,35.2409636774057
1545696000,2018-12-25T00:00:00,6.255194292,2.53131390188,4.10300562282973,54.833033163672,22.1894976638801,35.9669472897254
1545782400,2018-12-26T00:00:00,6.3693896112,2.54996048552,4.14604797306394,55.8340693317792,22.3529536160683,36.3442565318785
1545868800,2018-12-27T00:00:00,6.66129108857143,2.64086384333714,4.30605146047226,58.3928776824171,23.1498124506934,37.7468471024998
1545955200,2018-12-28T00:00:00,6.88421769531429,2.70379778481143,4.42074587842877,60.347052317125,23.701491381657,38.7522583703066
1546041600,2018-12-29T00:00:00,6.66463342628571,2.61755538422857,4.27973838923554,58.4221766148206,22.9454904981477,37.5161867200388
1546128000,2018-12-30T00:00:00,6.66463342628571,2.61755538422857,4.27973838923554,58.4221766148206,22.9454904981477,37.5161867200388
1546214400,2018-12-31T00:00:00,6.7110088608,2.63576947952,4.30951868092052,58.8287036737728,23.1051552574723,37.7772407569493
1546300800,2019-01-01T00:00:00,6.89124244525714,2.64729515627429,4.33931672273264,60.4086312751241,23.2061893399004,38.0384503914743
1546387200,2019-01-02T00:00:00,6.94551778868571,2.66861196521714,4.36573130977733,60.884408935619,23.3930524870935,38.2700006615081
1546473600,2019-01-03T00:00:00,6.9250233816,2.66056272346857,4.34390846782023,60.7047549631056,23.3224928339255,38.0787016289121
1546560000,2019-01-04T00:00:00,6.9068902968,2.65344089834857,4.32393727410648,60.5458003417488,23.2600629149236,37.9036341448174
1546646400,2019-01-05T00:00:00,7.15228311702857,2.74981968721143,4.4724085925574,62.6969138038725,24.1049193780954,39.2051337223582
1546732800,2019-01-06T00:00:00,7.02850073245714,2.70120377295429,4.38504108233083,61.6118374207193,23.6787522737173,38.4392701277121
1546819200,2019-01-07T00:00:00,7.00077506811429,2.69031443256,4.35935702966472,61.3687942470898,23.583296315821,38.2141237220409
1546905600,2019-01-08T00:00:00,6.9804848304,2.74160699976,4.42282305278731,61.1909300232864,24.0329269598962,38.7704668807335
1546992000,2019-01-09T00:00:00,7.0653731976,2.77494716844,4.4766081746646,61.9350614501616,24.325186878545,39.2419472591098
1547078400,2019-01-10T00:00:00,7.071903072,2.7775117968,4.48074549173208,61.992302329152,24.3476684107488,39.2782149805234
1547164800,2019-01-11T00:00:00,7.0653731976,2.77494716844,4.4766081746646,61.9350614501616,24.325186878545,39.2419472591098
1547251200,2019-01-12T00:00:00,6.9021263376,2.71083145944,4.3731752479775,60.5040394754016,23.763148573451,38.3352542237708
1547337600,2019-01-13T00:00:00,6.87600684,2.700572946,4.35662597970757,60.27507595944,23.673222444636,38.1901833381165
1547424000,2019-01-14T00:00:00,6.97204485668571,2.73829217398857,4.41747550011505,61.116945213707,24.0038691971838,38.7235902340085
1547510400,2019-01-15T00:00:00,6.7711524408,2.65939105652,4.29019041466654,59.3559222960528,23.3122220014543,37.6078091749669
1547596800,2019-01-16T00:00:00,6.60974787977143,2.59599891613714,4.18792476540486,57.9410499140763,22.7565264988582,36.711348493539
1547683200,2019-01-17T00:00:00,6.4595514168,2.53700879092,4.09276054758661,56.6244277196688,22.2394190612047,35.8771389601442
1547769600,2019-01-18T00:00:00,6.43681726045714,2.52807988072571,4.0783562256517,56.4251401051673,22.1611482344416,35.7508706740628
1547856000,2019-01-19T00:00:00,6.44518943382857,2.53136807770286,4.0836608201446,56.4985305769413,22.1899725691432,35.7973707493875
1547942400,2019-01-20T00:00:00,6.54320685342857,2.60168003166286,4.18202100540683,57.3577512771549,22.8063271575566,36.6595961333963
1548028800,2019-01-21T00:00:00,6.47480916874286,2.60521339719429,4.17332430907222,56.7581771731999,22.8373006398051,36.5833608933271
1548115200,2019-01-22T00:00:00,6.39405733782857,2.59984172662286,4.15218138086551,56.0503066234053,22.790212575576,36.3980219846671
1548201600,2019-01-23T00:00:00,6.40762506822857,2.63475666710286,4.19449407997968,56.1692413480917,23.0962769438236,36.7689351051019
1548288000,2019-01-24T00:00:00,6.56338173994286,2.72875906563429,4.33059236236058,57.5346043323391,23.9203019693502,37.9619726484528
1548374400,2019-01-25T00:00:00,6.49217911474286,2.72875906563429,4.31734729239393,56.9104421198359,23.9203019693501,37.8458663651252
1548460800,2019-01-26T00:00:00,6.53103689657143,2.77441734725714,4.37660747317636,57.2510694353451,24.3205424660561,38.3653411098639
1548547200,2019-01-27T00:00:00,6.40458880097143,2.72070155977714,4.29187151333782,56.1426254293156,23.8496698730064,37.6225456859193
1548633600,2019-01-28T00:00:00,6.36522926708571,2.70398143166857,4.26549572755174,55.7975997552734,23.7031012300067,37.3913355477186
1548720000,2019-01-29T00:00:00,6.45551258914286,2.74233424131429,4.32599678860468,56.5890233564263,24.039301959361,37.9216878489086
1548806400,2019-01-30T00:00:00,6.38215847074286,2.71117304259429,4.27684040075052,55.9460011545319,23.7661428913815,37.4907829529791
1548892800,2019-01-31T00:00:00,6.32635608034286,2.68746790627429,4.23944585487466,55.4568374002855,23.5583436664004,37.1629823638313
1548979200,2019-02-01T00:00:00,6.44103241354286,2.69242890334286,4.29373358110152,56.4620901371167,23.6018317667035,37.638868571936
1549065600,2019-02-02T00:00:00,6.39237176074286,2.63188040064572,4.24056412371569,56.0355308546719,23.0710635920603,37.1727851084918
1549152000,2019-02-03T00:00:00,6.38841397577143,2.59198345971429,4.21820785344221,56.0008369116123,22.7213270078554,36.9768100432744
1549238400,2019-02-04T00:00:00,6.39785559497143,2.55528636326857,4.20354582219329,56.0836021455195,22.3996402604123,36.8482826773464
1549324800,2019-02-05T00:00:00,6.24574792114286,2.51723211654857,4.16732001750389,54.7502262767383,22.0660567336648,36.5307272734391
1549411200,2019-02-06T00:00:00,6.24402050588571,2.546131927,4.23946623561162,54.7350837545942,22.319392472082,37.1631610213715
