Date,Bitcoin Transactions per kW,Ethereum Transactions per kW
2019-09-15,0.032754644893853,0.878549057649667
2019-09-16,0.040317151566548,1.0079895489549
2019-09-17,0.040538054831892,0.92751190314243
2019-09-18,0.04253361295485,0.952227596399301
2019-09-19,0.040350304992137,0.927268344938404
2019-09-20,0.039296531970131,0.952108337758895
2019-09-21,0.038341536477674,0.785387449019866
2019-09-22,0.035748315821946,0.753283250587928
2019-09-23,0.033804355227319,0.829842959117456
2019-09-24,0.041096592776097,0.92301548068167
2019-09-25,0.041143179169218,0.883079228563982
2019-09-26,0.041113978170417,0.85257453979777
2019-09-27,0.035425366978504,0.807813471502591
2019-09-28,0.036495692407367,0.787991962665284
2019-09-29,0.033903308671148,0.766920585568079
2019-09-30,0.036359790780565,0.891106188925081
2019-10-01,0.039953585114144,0.840048183357208
2019-10-02,0.039166874014684,0.822582633788038
2019-10-03,0.040364234610792,0.816225288576357
2019-10-04,0.041669393002723,0.790830765107865
2019-10-05,0.041092818922211,0.80792560412707
2019-10-06,0.034841971862794,0.78550487704355
2019-10-07,0.040532924834939,0.874020274961811
2019-10-08,0.040858252659592,0.998556367725612
2019-10-09,0.038142158238981,1.06363816534541
2019-10-10,0.041658117042389,1.00074688208617
2019-10-11,0.041240870660642,0.991215968401749
2019-10-12,0.03677962664606,0.893717424989435
2019-10-13,0.034208934085924,0.792457710051727
2019-10-14,0.037888537039533,0.903738019169329
2019-10-15,0.042519028201273,0.945520876112252
2019-10-16,0.042170049265347,0.94104999322585
2019-10-17,0.042184594128416,0.949539873161517
2019-10-18,0.042820929317529,0.99436974789916
2019-10-19,0.038217255671589,0.898271438217421
2019-10-20,0.036307303631523,0.828159318366243
2019-10-21,0.043190552955983,0.921537416813799
2019-10-22,0.041420554195133,0.99647365532382
2019-10-23,0.041365477257051,1.01528746725493
2019-10-24,0.036312246960551,1.00724885368904
2019-10-25,0.039811936457557,1.03815089585666
2019-10-26,0.036855949010911,1.012317469284
2019-10-27,0.031626102160833,0.917982581382067
2019-10-28,0.038875945185664,1.03461703958692
2019-10-29,0.039785441588878,1.02021626297578
2019-10-30,0.041752928141877,1.04047846889952
2019-10-31,0.039086021098841,1.07843188405797
2019-11-01,0.042378451662993,1.01602392275544
2019-11-02,0.038322328728867,0.851427748163089
2019-11-03,0.038633767622855,0.819740203817999
2019-11-04,0.040847939512487,0.961833954688844
2019-11-05,0.043152009779596,1.05622803257608
2019-11-06,0.040833589695165,1.00487434331961
2019-11-07,0.041941438007898,1.21080497104929
2019-11-08,0.040733153778125,0.984562737642585
2019-11-09,0.04005218550183,0.845592888142237
2019-11-10,0.038538335851924,0.849406189015891
2019-11-11,0.041645988717294,0.98618941813637
2019-11-12,0.039177837259067,0.981115879828326
2019-11-13,0.041753435509221,0.986521498686575
2019-11-14,0.044738734968983,0.939840940525588
2019-11-15,0.04038049140698,0.945789255054002
2019-11-16,0.035071931407231,0.830194796159733
2019-11-17,0.033082845214466,0.836587677725118
2019-11-18,0.038529695461256,1.02393977415307
2019-11-19,0.040960093229555,1.03698294092768
2019-11-20,0.039876377153673,0.988352199455509
2019-11-21,0.041450366145479,1.10149581287901
2019-11-22,0.040659288154565,1.16004670850971
2019-11-23,0.039014700308956,0.927834900117509
2019-11-24,0.034820812883926,0.886631016042781
2019-11-25,0.036949135797643,1.14496172895092
2019-11-26,0.043580493024285,1.03397170672346
2019-11-27,0.043214595475904,1.0361636475284
2019-11-28,0.041067182231461,0.976308367282983
2019-11-29,0.041234719628802,1.06897497210266
2019-11-30,0.038869327036303,0.94992853662498
2019-12-01,0.038302187371291,1.02238863031915
2019-12-02,0.043164036118123,1.16029637199796
2019-12-03,0.044677126655632,1.04883696959285
2019-12-04,0.043746602190731,1.15418892963157
2019-12-05,0.041304043945349,1.0924071453838
2019-12-06,0.041657866253591,1.02752283718431
2019-12-07,0.036683896385234,0.88492385786802
2019-12-08,0.03558956093926,0.805468835679035
2019-12-09,0.039956291877631,1.16963371986011
2019-12-10,0.041207077036908,1.16920214735283
2019-12-11,0.038827338213859,1.16474017507916
2019-12-12,0.042096039397498,1.18677744585512
2019-12-13,0.043293374677564,1.15996827174319
2019-12-14,0.039507985602822,1.02595495160089
2019-12-15,0.036323664275756,0.980457674418605
2019-12-16,0.04469192308499,1.18278419679463
2019-12-17,0.043930357983285,1.22468105243233
2019-12-18,0.043154474901871,1.27605809926895
2019-12-19,0.04283712715954,1.21524593376445
2019-12-20,0.044380814301506,1.23361044176707
2019-12-21,0.040477342344638,1.12194610162518
